Well,Sample,NTI
CSW1.1,CSW11_Nov11,0.647967124
CSW1.1,CSW11_Mar12,0.583743709
CSW1.1,CSW11_Jun12,1.32109108
CSW1.1,CSW11_Aug12,0.568882314
CSW1.1,CSW11_Mar13,0.531571078
CSW1.1,CSW11_Aug13,1.167150651
CSW1.1,CSW11_Jul14,1.109717813
CSW1.1,CSW11_Aug15,1.648457436
CSW1.1,CSW11_Jan16,1.338038748
CSW1.1,CSW11_May16,1.073990562
CSW1.1,CSW11_May17,0.794217367
CSW1.2,CSW12_Aug12,0.688453829
CSW1.2,CSW12_Mar13,2.895589472
CSW1.2,CSW12_Jan16,1.352837686
CSW1.2,CSW12_May16,2.230451056
CSW1.2,CSW12_May17,1.969295251
CSW1.3,CSW13_Aug12,0.972093455
CSW1.3,CSW13_Mar13,1.593814121
CSW1.3,CSW13_Aug13,2.200684841
CSW1.3,CSW13_Jul14,1.186598822
CSW1.3,CSW13_Jan16,2.191789523
CSW1.3,CSW13_May17,1.872999663
CSW1.4,CSW14_Dec11,1.565704345
CSW1.4,CSW14_Mar12,1.145576794
CSW1.4,CSW14_Aug12,1.757977735
CSW1.4,CSW14_Mar13,2.148427824
CSW1.4,CSW14_Jan16,2.137325375
CSW1.4,CSW14_May16,1.768666911
CSW1.4,CSW14_May17,1.732715419
CSW1.5,CSW15_Aug12,0.614054716
CSW1.5,CSW15_Mar13,1.868228099
CSW1.5,CSW15_Jul14,0.968071659
CSW1.5,CSW15_Aug15,1.984512223
CSW1.5,CSW15_Jan16,4.048975228
CSW1.5,CSW15_May16,1.035221051
CSW1.5,CSW15_May17,1.313844101
CSWold,CSWold_Jun11,1.95507082
CSWold,CSWold_Jul11,3.84124156
CSWold,CSWold_Aug11,4.152606209
CSWold,CSWold_Nov11,4.45744155
CSWold,CSWold_Mar12,0.770458609
CSWold,CSWold_Mar13,2.363185127
CSWold,CSWold_Aug13,4.387185023
CSWold,CSWold_Dec13,4.521310161
CSWold,CSWold_Jul14,1.716163194
CSWold,CSWold_Aug15,1.720888111
CSWold,CSWold_Jan16,1.500725696
CSWold,CSWold_May16,1.620474232
CSWold,CSWold_May17,1.97885918
N08A,N08A_Apr11,1.444505776
N08A,N08A_Jul11,1.214996561
N08A,N08A_Aug11,1.605720185
N08A,N08A_Aug12,0.678483829
N08A,N08A_Mar13,0.906773744
N08A,N08A_Aug13,2.046726704
N08A,N08A_Dec13,1.630757371
N08A,N08A_Jul14,0.816919429
N08A,N08A_Jan16,0.557277434
N08A,N08A_May16,0.696235433
N08A,N08A_May17,0.951550861
N08B,N08B_Apr11,1.436904534
N08B,N08B_Jul11,0.448811898
N08B,N08B_Aug12,0.73912111
N08B,N08B_Mar13,1.164942032
N08B,N08B_Aug13,1.718977037
N08B,N08B_Dec13,2.50187546
N08B,N08B_Jul14,1.061735209
N08B,N08B_Jan16,1.208402449
N08B,N08B_Jun16,1.499183524
N08B,N08B_May17,1.8101068
N08C,N08C_Jul11,0.670299545
N08C,N08C_Aug12,1.01499714
N08C,N08C_Mar13,1.714002292
N08C,N08C_Aug13,2.324155057
N08C,N08C_Dec13,3.79773009
N08C,N08C_Jul14,3.272602443
N08C,N08C_Jan16,2.447014215
N08C,N08C_May16,2.635141695
N08C,N08C_May17,2.951312007
QV1.1,QV11_Nov11,0.736222016
QV1.1,QV11_Mar12,0.799906224
QV1.1,QV11_Jun12,0.862979333
QV1.1,QV11_Aug12,0.825470779
QV1.1,QV11_Dec12,0.618130029
QV1.1,QV11_Mar13,0.676114633
QV1.1,QV11_Aug13,2.764690738
QV1.1,QV11_Jul14,1.773031787
QV1.1,QV11_Aug15,1.082136107
QV1.1,QV11_Jan16,1.469435592
QV1.1,QV11_May16,0.623095749
QV1.1,QV11_May17,1.268554718
QV1.2,QV12_Aug12,1.254449554
QV1.2,QV12_Mar13,1.063274399
QV1.2,QV12_Aug13,2.980888636
QV1.2,QV12_Jul14,2.285861579
QV1.2,QV12_Jan16,1.98800556
QV1.2,QV12_May16,2.208612558
QV1.2,QV12_May17,2.122139038
QV1.3,QV13_Aug12,3.562939703
QV1.3,QV13_Mar13,3.20481012
QV1.3,QV13_Jul14,3.418130967
QV1.3,QV13_Jan16,-1.233333261
QV1.3,QV13_May16,4.23481595
QV1.3,QV13_May17,
,3.555512268,
