,CSW11_Nov11,CSW11_Mar12,CSW11_Jun12,CSW11_Aug12,CSW11_Mar13,CSW11_Aug13,CSW11_Jul14,CSW11_Aug15,CSW11_Jan16,CSW11_May16,CSW11_May17,CSW12_Aug12,CSW12_Mar13,CSW12_Jan16,CSW12_May16,CSW12_May17,CSW13_Aug12,CSW13_Mar13,CSW13_Aug13,CSW13_Jul14,CSW13_Jan16,CSW13_May17,CSW14_Dec11,CSW14_Mar12,CSW14_Aug12,CSW14_Mar13,CSW14_Jan16,CSW14_May16,CSW14_May17,CSW15_Aug12,CSW15_Mar13,CSW15_Jul14,CSW15_Aug15,CSW15_Jan16,CSW15_May16,CSW15_May17,CSWold_Jun11,CSWold_Jul11,CSWold_Aug11,CSWold_Nov11,CSWold_Mar12,CSWold_Mar13,CSWold_Aug13,CSWold_Dec13,CSWold_Jul14,CSWold_Aug15,CSWold_Jan16,CSWold_May16,CSWold_May17,N08A_Apr11,N08A_Jul11,N08A_Aug11,N08A_Aug12,N08A_Mar13,N08A_Aug13,N08A_Dec13,N08A_Jul14,N08A_Jan16,N08A_May16,N08A_May17,N08B_Apr11,N08B_Jul11,N08B_Aug12,N08B_Mar13,N08B_Aug13,N08B_Dec13,N08B_Jul14,N08B_Jan16,N08B_Jun16,N08B_May17,N08C_Jul11,N08C_Aug12,N08C_Mar13,N08C_Aug13,N08C_Dec13,N08C_Jul14,N08C_Jan16,N08C_May16,N08C_May17,QV11_Nov11,QV11_Mar12,QV11_Jun12,QV11_Aug12,QV11_Dec12,QV11_Mar13,QV11_Aug13,QV11_Jul14,QV11_Aug15,QV11_Jan16,QV11_May16,QV11_May17,QV12_Aug12,QV12_Mar13,QV12_Aug13,QV12_Jul14,QV12_Jan16,QV12_May16,QV12_May17,QV13_Aug12,QV13_Mar13,QV13_Jul14,QV13_Jan16,QV13_May16,QV13_May17
CSW11_Nov11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Mar12,-3.501555196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Jun12,-3.439719961,-2.976163601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Aug12,-5.913076895,-2.135200474,-0.993558138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Mar13,-5.55811311,-4.282621057,-2.906518712,-0.95359352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Aug13,-3.161761778,-3.251287142,-3.467505549,-0.268978109,-2.718008155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Jul14,0.100223037,0.265054056,0.44772476,-0.39685112,-4.192805175,-0.132068766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Aug15,0.715022065,3.443001883,1.492649845,0.362336818,2.378766683,1.701812959,3.576279392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_Jan16,0.168390434,0.342399338,0.57895433,-0.313975523,1.04964466,0.254783068,1.337175157,-2.114007681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSW11_May16,0.089429336,0.257468614,0.060134948,-0.342341362,-1.471512397,0.009027552,-3.748658803,-0.111458998,0.226449097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
